trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.9999988548800254}",20,0,-64.52111525499679,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9999987595064589}",30,0,-217.0030630219981,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.9999986561895282}",25,15,-32.213194392947464,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.9999985442676574}",20,5,-28.46100709967761,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.9999984230241705}",20,10,-25.629350280674608,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.9999982916827023}",25,0,-106.43065299189914,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9999981494022271}",25,0,-73.29700321713204,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9999979952716742}",30,0,-204.57584512613587,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.999997828304093}",20,0,-74.26923468705779,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9999976474303346}",30,0,-76.24270675745406,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.999997451492205}",30,0,-178.23322519642534,"{0: 13, 1: 3, 2: 12, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9999972392350498}",30,0,-222.07293192412877,"{0: 15, 1: 1, 2: 9, 3: 3, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9999970092997202}",25,0,-167.05482900760865,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9999967602138706}",20,0,-113.41024020381117,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.999996490382531}",20,0,-93.98580007029128,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9999961980778947}",25,0,-150.921108364647,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9999958814282551}",20,0,-92.36430071196405,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.999995538406022}",20,0,-135.26515570171128,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.9999951668147383}",20,0,-115.06223236629792,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.999994764275018}",25,15,-19.20283999371849,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.9999943282093103}",30,0,-192.47292726638102,"{0: 16, 1: 1, 2: 8, 3: 4, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9999938558253978}",20,0,-177.09754884486233,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.9999933440985179}",20,0,-76.8349734916808,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9999927897519978}",20,12,-57.20053108521175,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.999992189236275}",30,0,-167.11592805960748,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
